641,522,117,131
640,521,118,132
640,521,117,131
640,520,117,130
639,517,118,131
638,515,118,131
638,513,119,133
638,511,119,135
638,509,119,135
637,506,119,134
637,503,119,133
637,501,119,133
635,497,121,132
635,494,121,132
635,491,120,132
634,489,121,130
634,486,122,131
634,487,122,131
633,481,122,133
632,480,123,130
632,477,123,131
632,475,122,130
631,472,124,131
632,469,124,131
631,467,123,132
631,464,123,132
630,463,124,130
630,461,124,131
629,460,125,131
628,460,125,131
628,459,125,130
628,458,125,131
627,457,126,132
627,457,125,130
626,456,126,130
626,456,126,130
625,455,127,131
625,454,127,131
624,454,128,131
623,453,129,132
623,453,128,131
623,452,128,131
622,451,129,132
623,450,128,132
621,450,130,133
621,449,130,132
620,449,131,132
619,449,131,132
620,447,132,132
619,446,133,132
619,445,133,132
619,444,133,135
618,444,135,135
618,444,135,135
618,443,135,133
618,443,136,132
619,442,135,134
618,441,136,134
618,440,137,136
617,439,137,136
619,439,138,135
619,438,138,135
619,438,138,137
619,438,139,136
619,437,139,136
618,436,139,136
619,436,140,136
618,435,142,138
618,435,142,136
617,435,143,136
619,433,142,138
619,432,142,138
617,432,145,136
616,432,147,137
616,432,146,136
616,431,146,137
615,430,147,139
614,430,147,139
614,429,148,138
614,429,148,138
614,428,148,139
613,428,149,138
612,427,150,140
612,426,150,140
612,425,150,140
611,425,152,142
610,425,152,138
610,424,151,142
609,424,152,142
608,423,152,142
607,422,153,141
606,422,153,142
606,421,154,141
604,420,155,141
604,420,155,142
604,420,155,142
602,419,156,143
601,419,157,143
600,418,158,145
599,418,158,144
598,418,158,146
597,418,158,146
596,416,158,148
595,416,160,145
593,416,161,146
592,416,162,146
591,416,161,148
591,415,161,148
589,414,162,147
588,414,163,149
587,413,163,148
585,413,165,148
584,412,165,147
584,410,165,147
582,412,166,147
582,412,165,147
581,411,165,147
579,410,167,149
579,410,166,148
579,410,166,148
577,410,167,149
576,409,167,151
574,409,168,149
573,408,169,150
572,408,169,150
571,407,169,150
567,407,170,152
564,407,171,149
562,406,170,153
558,406,172,152
555,407,171,152
554,407,171,152
546,409,173,152
541,410,174,152
538,412,174,153
533,413,175,153
527,414,176,155
528,413,176,155
520,417,176,155
514,419,179,155
510,420,178,156
504,422,180,155
500,423,180,155
500,422,180,155
491,425,180,157
486,427,181,156
481,428,182,158
476,428,182,159
474,431,180,157
475,430,180,157
461,433,187,161
457,435,185,159
453,436,185,159
448,438,186,160
444,440,186,161
444,440,186,161
435,442,189,161
431,444,191,160
428,446,190,162
421,447,194,162
421,447,191,163
421,446,191,163
411,449,195,164
409,450,195,163
405,450,196,162
401,448,196,166
400,451,195,163
399,450,195,163
390,453,199,164
391,453,197,165
385,454,200,164
384,455,199,165
382,455,199,165
381,454,199,165
375,457,200,166
374,454,199,168
371,457,200,167
367,457,201,168
365,459,201,167
364,459,201,167
361,458,203,169
359,461,204,167
357,462,202,167
355,463,202,167
353,464,205,166
353,464,205,166
348,463,205,167
348,463,204,167
349,462,201,167
347,460,203,170
345,462,203,168
344,462,203,168
344,462,201,167
342,461,205,168
343,460,202,170
341,461,205,167
341,459,205,170
341,459,205,170
337,460,206,168
339,458,198,171
341,461,202,167
343,458,201,168
344,460,202,168
344,461,202,168
345,458,205,168
347,458,205,168
347,458,203,168
348,458,201,167
347,458,204,167
346,458,204,167
348,456,204,168
347,456,205,168
349,456,204,168
350,455,205,168
352,456,205,167
352,456,205,167
356,457,200,167
358,456,202,168
358,454,204,170
360,457,202,167
362,457,204,167
362,457,204,167
364,455,203,169
367,457,201,167
369,456,201,167
368,457,202,167
372,458,200,166
372,459,200,166
373,458,201,167
377,459,199,166
377,458,202,168
378,459,201,167
382,460,198,166
382,460,198,166
383,461,198,166
384,459,200,167
384,461,202,167
386,462,202,165
386,462,202,165
385,462,202,165
392,464,197,165
391,463,201,167
390,465,202,166
393,465,201,167
396,465,198,166
396,464,198,166
398,466,199,166
397,466,199,168
400,470,198,167
399,471,201,166
402,471,199,165
401,469,199,165
405,473,198,167
406,473,199,169
405,472,201,170
410,478,197,165
410,475,198,166
409,473,198,166
414,477,197,166
416,477,196,166
415,477,199,165
419,478,198,167
418,477,200,166
417,476,200,166
423,475,199,169
426,477,196,166
428,476,195,166
